person,label
00091926,0.036459804
00091a7a,0.19445062
000ba417,0.059357345
000e4d9e,0.0477856
000e619d,0.025640449
001001be,0.02311935
0010e89a,0.005640234
0016c4b5,0.005185439
001804a2,0.012532894
001a2273,0.007134796
00202cdb,0.006827976
0022965d,0.041891493
0027574e,0.05167329
00295d74,0.006920417
002aea56,0.1547799
002ed810,0.059326857
002fb981,0.027951237
00344873,0.0066653155
0038a117,0.17920856
003a05bf,0.04896999
003d07ef,0.14330919
003e7507,0.0070973425
00408349,0.0106021045
0041fec6,0.024423452
0043a48e,0.025752071
00546f4c,0.1039381
00556ee5,0.018798137
0059a996,0.17151661
005af223,0.055756506
005e06ef,0.019722203
0061cbe8,0.07138253
006549da,0.04902211
006bb312,0.005507997
006cabc5,0.124124035
006e1534,0.0044384045
006fc943,0.054378193
00750af8,0.04685516
00754f5e,0.0073867985
0076b7dc,0.0320308
007743ca,0.009473445
007a0564,0.0067354576
0081cd73,0.0047970926
0081f590,0.0072705583
008287e4,0.029881833
0083c22c,0.008295273
0087d959,0.23316327
0089421c,0.14174119
008a6d00,0.018974677
008b4a48,0.008286162
008f480f,0.12933296
008f739f,0.031068675
009648f0,0.16367477
00970caa,0.012970264
009944e1,0.064770125
009f8292,0.021901561
00a2efc2,0.011529818
00af50bb,0.029131714
00b0fe02,0.0066653155
00b1b9d0,0.26243123
00b5303d,0.021374153
00b6642b,0.019986577
00b8bba9,0.039549753
00caa482,0.11877975
00cd1373,0.0646173
00cde0db,0.009952987
00d618ba,0.08002487
00d8d869,0.012868786
00dcc618,0.006018328
00e0e219,0.0046284
00e2e06b,0.0135326
00f1575c,0.1292502
00f369ef,0.021860253
00f4620f,0.007134796
00f5c8be,0.21966906
00fd99c6,0.0060275486
00ff2c51,0.059033636
010200b5,0.009491705
01022bf3,0.020729955
01039bf1,0.039455008
010750dc,0.11528484
01094049,0.019519221
010b0b0b,0.36125275
010f9396,0.008450735
01102549,0.0044465493
01126aa4,0.0044465493
01127f1d,0.0044333357
01183209,0.008663217
0121c41e,0.019710908
0126d440,0.0044465493
0129072b,0.014105952
012af91b,0.008295273
012b81de,0.045875616
012cd55c,0.0063907607
012d8fd8,0.11422159
0137a57b,0.04012851
013a0e3a,0.13871484
013dc935,0.007076311
013e1cd0,0.024366653
013ef20d,0.008663217
013fce70,0.0086215455
0144bd58,0.18221724
0146ecbc,0.008866594
014853d4,0.03037767
015fb139,0.012589015
01638753,0.12872294
0163bf88,0.034535676
016419e1,0.013209576
01696aab,0.048569713
016b86b9,0.29602805
016d0c8f,0.06888343
016f3833,0.06625952
01716e05,0.011231002
01798556,0.04542365
017a84d1,0.015555399
017d35dc,0.0061301794
017fd805,0.042194035
018598e8,0.028015563
018adf26,0.29877305
018c1154,0.012637563
0190f87d,0.023830863
019425a8,0.1948744
0196054a,0.039547823
01984bc3,0.019133331
019ac712,0.005185439
01a20e81,0.012775391
01ab5296,0.0083531635
01ac5844,0.012078591
01ad4042,0.13881442
01ada784,0.04520323
01af6573,0.0602571
01b08442,0.023067633
01b09758,0.11562573
01b97cb9,0.053718347
01be1d14,0.005041344
01c3addd,0.31628156
01c862be,0.008092842
01c9f8d2,0.026049692
01caf5bf,0.1092963
01cbe6b3,0.005913358
01cd8ca8,0.015994776
01d18619,0.008474218
01d28bce,0.0067094057
01d8711d,0.20313694
01dfb178,0.13148323
01e18191,0.005041344
01f061eb,0.28373128
01f8fa5b,0.017079506
01fe7232,0.02418727
01ffa003,0.15532628
0205d5c1,0.02579739
020b50dc,0.04483904
021b35b5,0.01966031
021f11c8,0.05681403
02208eb6,0.022673197
0222570f,0.0303639
0225de65,0.008633405
02274195,0.008122676
02285678,0.11576045
0228b475,0.017179865
022bd951,0.007583839
022c083c,0.04782624
022ca64b,0.05767955
0233c7ed,0.044279415
0234e8f5,0.015176008
023e49e4,0.25366795
023fafbb,0.0044465493
0244969f,0.010983233
02452978,0.29254758
0246242b,0.04364554
0247c9fc,0.008778736
024803ab,0.0055684093
02496e75,0.21482192
024b9c24,0.08866836
024ceac4,0.007711364
024ffb9b,0.004849897
0256b30a,0.05537509
0256c879,0.00794261
0256dfc5,0.005185439
025e1ccc,0.18746191
02603929,0.013962812
026b66ef,0.0044465493
0270a59f,0.019320888
027870af,0.09492842
027b809f,0.026638921
027cb5c9,0.0060693077
027e9637,0.010647807
0280a93d,0.13435188
028d0864,0.18340625
02973cb9,0.007134796
0297fc1e,0.0335312
029889eb,0.047647156
029a5c8b,0.0044465493
029e25de,0.00855395
02a14ee3,0.024791526
02a9fd4c,0.029957658
02aa0266,0.0066455523
02b10e44,0.1770499
02b13444,0.012849303
02b51109,0.06729678
02ba6bb6,0.007134796
02bf0143,0.025994232
02c2eb63,0.0044465493
02c66b97,0.009263243
02c73278,0.0066653155
02cec30a,0.0046284
02d42846,0.009450317
02d80cb2,0.013277385
02de19f7,0.012771176
02e1a150,0.01893381
02e465f4,0.09396401
02e59a44,0.17488268
02e65ce8,0.05307228
02e7d329,0.012045487
02ecd2d2,0.028063355
02eefc32,0.008570376
02f0635f,0.33920926
02f2b7b1,0.0050887885
02f5c581,0.013933857
02f792fc,0.00623597
02fb0b61,0.008933326
030071f1,0.036654316
03042e4a,0.0091915615
030c5d84,0.0066653155
030c803c,0.04371915
03100f48,0.025267294
03110d1d,0.12768683
0311c318,0.025947137
031481a2,0.12745184
0318fd8d,0.15144506
031bee81,0.008946813
03264a2e,0.013480134
032c90dd,0.0075745205
032ecde2,0.0058512255
03302054,0.15511174
0337d5ce,0.07713799
0338a1ea,0.048673403
03413393,0.0057858257
03439225,0.05712006
034ab8b8,0.014339478
034e4f2f,0.1049007
034fbc8a,0.0044465493
03533e4f,0.020236138
035626f1,0.012588623
035be698,0.027610095
035c9c3c,0.08095942
03665977,0.01932633
03739332,0.007134796
037a2f9e,0.023438208
037f094d,0.02265168
037f3cec,0.20795006
0382adc4,0.043937054
0384b2bd,0.005041344
0384dbbf,0.0044465493
038e3cd5,0.0044465493
039a1fa7,0.0382827
039c02c5,0.008984062
039ccd71,0.0073736776
039d87dc,0.02915646
039fe371,0.0074334196
03a0d815,0.0095395325
03a1b4d1,0.2338653
03aa060a,0.01161041
03aa82cb,0.007134796
03ab59d3,0.020763325
03ae1796,0.080724485
03b6cecb,0.10166151
03b999c7,0.20313677
03bb6dc9,0.007544049
03c6dbf0,0.018954964
03c72157,0.054295495
03d242c6,0.04812803
03d269f6,0.07689958
03d5db8f,0.005640234
03da16b8,0.010086706
03db8124,0.22409043
03e50576,0.026531966
03eb4dd6,0.017656626
03f1562e,0.14909202
03fb9fde,0.00580089
0401277e,0.0044333357
04014a58,0.0054147523
04068dcd,0.12122796
0408f3f4,0.11895876
040ad2f1,0.009463642
040f38ba,0.06018812
